city,decased,isolated,released,total,사망률
가평,,1,,1,0
강남구,,7,76,83,0
강동구,,5,30,35,0
강릉시,,1,8,9,0
강북구,,6,18,24,0
강서구,,23,60,83,0
강화군,,,1,1,0
거제,,2,11,13,0
거창,,,19,19,0
경산시,28,5,607,640,0.0438
경주시,1,3,48,52,0.0192
계룡시,,2,1,3,0
계양구,,47,8,55,0
고령,,2,8,10,0
고성,,,2,2,0
고양시,,50,3,53,0
공주시,,2,1,3,0
과천시,,6,3,9,0
관악구,,44,69,113,0
광명시,,27,1,28,0
광양시,,,1,1,0
광주,,24,11,35,0
광진구,,2,15,17,0
괴산,,1,10,11,0
구로구,,27,58,85,0
구리,,1,,1,0
구리시,,10,1,11,0
구미시,,,78,78,0
군산시,,,4,4,0
군위,,,6,6,0
군포시,,75,,75,0
금정구,,1,6,7,0
금천구,,13,19,32,0
기장,,,1,1,0
기타,4,43,63,110,0.0364
김제시,,,3,3,0
김천시,,,24,24,0
김포시,,37,,37,0
김해시,,1,13,14,0
남구,2,15,19,36,0.0556
남동구,,31,14,45,0
남양주시,1,42,4,47,0.0213
남해,,,1,1,0
노원구,,9,34,43,0
논산시,,4,2,6,0
단양,,,1,1,0
달서구,,29,,29,0
달성,,1,,1,0
달성군,,6,,6,0
대덕구,,2,3,5,0
도봉구,1,43,18,62,0.0161
동구,,27,13,40,0
동구 구,,10,43,53,0
동대문구,,3,35,38,0
동두천시,,5,,5,0
동래구,,8,31,39,0
마포구,1,7,30,38,0.0263
목포시,,,5,5,0
무안,,,2,2,0
문경시,,,4,4,0
미추홀 구,,55,14,69,0
밀양시,,,5,5,0
봉화,1,68,2,71,0.0141
부산진구,2,2,10,14,0.1429
부여군,,2,11,13,0
부천시,,160,2,162,0
부평구,,65,18,83,0
북구,,15,13,28,0
사상구,,3,2,5,0
사천시,,,3,3,0
사하구,,1,10,11,0
산청,,,1,1,0
삼척시,,,1,1,0
상곡 동,,1,,1,0
상주시,,,15,15,0
서구,1,44,33,78,0.0128
서대문구,1,3,32,36,0.0278
서산시,,,9,9,0
서천,,,1,1,0
서초구,,8,47,55,0
성남시,,173,,173,0
성동구,,3,46,49,0
성북구,,2,31,33,0
성주,1,1,21,23,0.0435
세종,,5,47,52,0
속초,,,3,3,0
송파구,,6,49,55,0
수성구,,14,,14,0
수영구,,2,9,11,0
수원,,1,,1,0
수원시,,89,11,100,0
순천시,,,2,2,0
시흥시,,23,4,27,0
아산시,,5,13,18,0
안동시,,,53,53,0
안산시,,33,,33,0
안성시,,3,1,4,0
안양시,,62,1,63,0
양산,,3,5,8,0
양주시,,9,,9,0
양천구,,18,53,71,0
양평시,,1,,1,0
여수시,,,3,3,0
연수구,,26,19,45,0
연제구,,1,3,4,0
영덕,,,2,2,0
영등포구,,19,43,62,0
영양,,,2,2,0
영월,,,1,1,0
영주시,,,5,5,0
영천시,2,7,29,38,0.0526
예천,1,36,7,44,0.0227
오산시,,8,,8,0
옥천,,1,,1,0
용산구,,9,41,50,0
용인시,,95,9,104,0
울주,,,6,6,0
원주시,,7,18,25,0
유성구,,17,23,40,0
은평구,,10,43,53,0
음성군,,1,6,7,0
의성,,,41,41,0
의왕시,,10,,10,0
의정부시,,47,,47,0
이천동,,1,,1,0
이천시,,6,9,15,0
익산시,,,2,2,0
인제,,,1,1,0
장수,,,1,1,0
전주시,,,8,8,0
제주도,,3,15,18,0
종로구,1,2,19,22,0.0455
중구,,30,25,55,0
중랑구,,12,21,33,0
증평,,,2,2,0
진주시,,,12,12,0
진천,,,1,1,0
창녕,,,9,9,0
창원시,,,31,31,0
천안시,,2,108,110,0
철원,2,3,6,11,0.1818
청도,7,,36,43,0.1628
청송,,,2,2,0
청주시,,3,17,20,0
춘천시,,3,7,10,0
충주시,,,13,13,0
칠곡,1,11,39,51,0.0196
태백시,1,,,1,1
태안,,,1,1,0
파주시,,16,,16,0
평택시,,60,1,61,0
포천시,,19,,19,0
포항시,,,53,53,0
하남시,,12,,12,0
하만,,,1,1,0
함양,,,1,1,0
합천,,,10,10,0
해운대구,,4,18,22,0
홍성,,1,3,4,0
화성시,,41,,41,0
화순,,,1,1,0
횡성,,,1,1,0
(비어 있음),19,45,30,94,0.2021
,78,2158,2929,5165,0.0151
