age,state,counts,age_sum,ratio,,»ç¸Á·ü µû·Î,
0s,released,36,66,0.545454545,,,
,isolated,30,,0.454545455,,30s,0.001912046
10s,released,115,178,0.646067416,,40s,0.003861004
,isolated,63,,0.353932584,,50s,0.010494753
20s,released,664,899,0.738598443,,60s,0.024896266
,isolated,235,,0.261401557,,70s,0.090517241
30s,released,332,523,0.634799235,,80s,0.147058824
,isolated,190,,0.363288719,,90s,0.142857143
,deceased,1,,0.001912046,,,
40s,released,370,518,0.714285714,,,
,isolated,146,,0.281853282,,,
,deceased,2,,0.003861004,,,
50s,released,457,667,0.685157421,,,
,isolated,203,,0.304347826,,,
,deceased,7,,0.010494753,,,
60s,released,294,482,0.609958506,,,
,isolated,176,,0.365145228,,,
,deceased,12,,0.024896266,,,
70s,released,133,232,0.573275862,,,
,isolated,78,,0.336206897,,,
,deceased,21,,0.090517241,,,
80s,released,80,170,0.470588235,,,
,isolated,65,,0.382352941,,,
,deceased,25,,0.147058824,,,
90s,released,26,49,0.530612245,,,
,isolated,16,,0.326530612,,,
,deceased,7,,0.142857143,,,
100s,released,1,,,,,
